Label          Precision      Recall         F1-score       
O              0.943051       0.917054       0.929871       
B-ADDRESS      0.511905       0.461126       0.485190       
I-ADDRESS      0.580622       0.604214       0.592183       
B-BOOK         0.618644       0.474026       0.536765       
I-BOOK         0.622977       0.438997       0.515050       
B-COM          0.629333       0.624339       0.626826       
I-COM          0.574553       0.659316       0.614023       
B-GAME         0.649860       0.786441       0.711656       
I-GAME         0.678295       0.770925       0.721649       
B-GOV          0.492163       0.635628       0.554770       
I-GOV          0.567531       0.779026       0.656669       
B-MOVIE        0.582822       0.629139       0.605096       
I-MOVIE        0.637014       0.698430       0.666310       
B-NAME         0.684989       0.696774       0.690832       
I-NAME         0.546851       0.697356       0.613000       
B-ORG          0.611260       0.621253       0.616216       
I-ORG          0.558681       0.529899       0.543909       
B-POS          0.595833       0.660508       0.626506       
I-POS          0.611628       0.684896       0.646192       
B-SCENE        0.480000       0.459330       0.469438       
I-SCENE        0.602826       0.531856       0.565121       
